Artists,Name,Weekly.rank,Peak.position,Weeks.on.chart,Week,Date,Genre,Features
Ariana Grande,No Tears Left To Cry,32,3.0,23.0,2018-10-06,"April 20, 2018","Electro-Pop,Synth-Pop,Pop,Dance-Pop",nan
XXXTENTACION,Sad!,33,1.0,30.0,2018-10-06,"March 2, 2018","Hip-Hop,Trap,Emo Rap,Rap,Alternative,Cloud Rap",nan
Lauv,I Like Me Better,34,27.0,33.0,2018-10-06,"May 19, 2017","Electronic,Pop",nan
Post Malone,Psycho,35,1.0,31.0,2018-10-06,"February 23, 2018",Rap,Ty Dolla $ign
Bebe Rexha,I'm A Mess,36,36.0,11.0,2018-10-06,"June 15, 2018",Pop,nan
"Zedd, Maren Morris, Grey",The Middle,37,5.0,35.0,2018-10-06,"January 23, 2018","Deutschland,Electro-Pop,Electronic,Dance,Pop",nan
"Gucci Mane, Bruno Mars, Kodak Black",Wake Up In The Sky,38,30.0,2.0,2018-10-06,"September 14, 2018","Island Music,R&;B,Trap,Pop,Rap",nan
Drake,Nice For What,39,1.0,25.0,2018-10-06,"April 6, 2018","Bounce,Rap,Canada,R&;B",nan
Machine Gun Kelly,Rap Devil,40,13.0,3.0,2018-10-06,"September 3, 2018","Beef,Rap",nan
lovelytheband,Broken,41,41.0,11.0,2018-10-06,"July 7, 2017","Pop,Indie Pop,Adult Alternative,Alternative Rock,Pop-Rock,Indie Rock,Rock",nan
Florida Georgia Line,Simple,42,32.0,17.0,2018-10-06,"June 1, 2018",Country,nan
Bazzi,Beautiful,43,42.0,8.0,2018-10-06,"August 2, 2018","Remix,Ballad,R&;B,Pop",Camila Cabello
Dan + Shay,Tequila,44,21.0,29.0,2018-10-06,"January 10, 2018",Country,nan
Drake,God's Plan,45,1.0,36.0,2018-10-06,"January 19, 2018","Hip-Hop,Trap,Pop,Rap,Canada",nan
Panic! At The Disco,High Hopes,46,46.0,8.0,2018-10-06,"May 23, 2018","Adult Alternative,Rock,Power Pop,Pop-Rock,Alternative,Alternative Rock,Classical Crossover,Electro-Pop,Alternative Pop,Pop",nan
Luke Combs,She Got The Best Of Me,48,48.0,7.0,2018-10-06,"July 1, 2014",Country,nan
Cardi B,Ring,49,28.0,10.0,2018-10-06,"April 6, 2018","West Coast,East Coast,Pop,R&;B,Rap",Kehlani
Old Dominion,Hotel Key,50,48.0,13.0,2018-10-06,"September 25, 2017",Country,nan
Bryce Vine,Drew Barrymore,51,46.0,7.0,2018-10-06,"September 8, 2017","Pop,Rap",nan
Russell Dickerson,Blue Tacoma,52,52.0,6.0,2018-10-06,"March 5, 2018",Country,nan
Lauren Daigle,You Say,53,44.0,11.0,2018-10-06,"July 13, 2018","Worship,Christian Pop,Pop,Christian",nan
"Tiesto, Dzeko",Jackie Chan,54,52.0,12.0,2018-10-06,"May 18, 2018","Dance,Remix,Rap,Pop","Preme, Post Malone"
Weezer,Africa,55,51.0,11.0,2018-10-06,"May 29, 2018","Memes,Alternative,Synth Rock,Adult Contemporary,Cover,Power Pop,Pop-Rock,Adult Alternative,Alternative Rock,Rock",nan
Khalid,Better,57,45.0,2.0,2018-10-06,"September 14, 2018","Electro-Pop,Pop,R&;B",nan
Ariana Grande,Breathin,58,22.0,6.0,2018-10-06,"August 17, 2018","Dance-Pop,Electro-Pop,R&;B,Pop",nan
Luke Bryan,"Sunrise, Sunburn, Sunset",59,35.0,13.0,2018-10-06,"December 8, 2017",Country,nan
Cole Swindell,Break Up In The End,60,49.0,12.0,2018-10-06,"February 23, 2018",Country,nan
Charlie Puth,The Way I Am,61,61.0,5.0,2018-10-06,"May 3, 2018","Electronic Rock,Synth-Pop,Electro-Pop,R&;B,Pop-Rock,Pop",nan
NF,Lie,62,62.0,9.0,2018-10-06,"October 6, 2017","Pop,Rap",nan
Kane Brown,Lose It,63,61.0,11.0,2018-10-06,"June 7, 2018",Country,nan
Queen Naija,Medicine,66,45.0,17.0,2018-10-06,"December 31, 2017","YouTube,R&;B",nan
Mitchell Tenpenny,Drunk Me,67,67.0,7.0,2018-10-06,"March 26, 2018",Country,nan
"Calvin Harris, Sam Smith",Promises,68,65.0,6.0,2018-10-06,"August 17, 2018","Electronic,Dance,Pop",nan
Yella Beezy,That's On Me,69,69.0,9.0,2018-10-06,"October 31, 2017",Rap,nan
Nicki Minaj,Barbie Dreams,70,18.0,7.0,2018-10-06,"August 10, 2018",Rap,nan
Juice WRLD,All Girls Are The Same,72,41.0,20.0,2018-10-06,"December 22, 2017","Emo Rap,Cloud Rap,Alternative,Trap,Emo,Rap",nan
Eminem,Fall,73,12.0,4.0,2018-10-06,"August 31, 2018",Rap,nan
Daniel Caesar,Best Part,75,75.0,10.0,2018-10-06,"August 25, 2017","Canada,R&;B",H.E.R.
Meek Mill,Dangerous,76,76.0,6.0,2018-10-06,"July 6, 2018","East Coast,R&;B,Rap","Jeremih, PnB Rock"
Dan + Shay,Speechless,77,77.0,3.0,2018-10-06,"May 18, 2018",Country,nan
Thomas Rhett,Life Changes,78,36.0,14.0,2018-10-06,"August 31, 2017",Country,nan
Dylan Scott,Hooked,79,48.0,11.0,2018-10-06,"June 30, 2017",Country,nan
Jason Aldean,Drowns The Whiskey,80,32.0,15.0,2018-10-06,"April 13, 2018",Country,Miranda Lambert
Flipp Dinero,Leave Me Alone,81,81.0,2.0,2018-10-06,"March 14, 2018",Rap,nan
Chris Janson,Drunk Girl,82,82.0,5.0,2018-10-06,"September 22, 2017",Country,nan
Lil Mosey,Noticed,83,83.0,2.0,2018-10-06,"July 20, 2018","Trap,Rap",nan
Travis Scott,Yosemite,84,25.0,8.0,2018-10-06,"August 3, 2018","Atlanta,Canada,Memes,Trap,Rap",nan
Chris Young,Hangin' On,85,85.0,4.0,2018-10-06,"March 5, 2018",Country,nan
Jimmie Allen,Best Shot,86,86.0,2.0,2018-10-06,"October 12, 2018",Country,nan
Travis Scott,Stargazing,87,8.0,8.0,2018-10-06,"August 3, 2018","Psychedelic,Trap,Rap",nan
6ix9ine,BEBE,88,30.0,4.0,2018-10-06,"August 31, 2018","Puerto Rico,Rap,Latin Urban,Pop,Reggaeton,En Espa\xc3\xb1ol,Latin Music",Anuel AA
Juice WRLD,Lean Wit Me,89,68.0,8.0,2018-10-06,"May 22, 2018","Alternative,Emo,Trap,Emo Rap,Rap",nan
Mac Miller,Self Care,90,33.0,3.0,2018-10-06,"July 13, 2018","R&;B,Neo Soul,Rap",nan
"Khalid, Ty Dolla $ign, 6LACK",OTW,91,57.0,18.0,2018-10-06,"April 20, 2018","Electro-Pop,Pop,Soul,West Coast,R&;B",nan
Kygo,Remind Me To Forget,93,63.0,11.0,2018-10-06,"March 16, 2018","Scandinavia,Dance-Pop,Electronic,Tropical House,Dance,Pop",Miguel
Eric Church,Desperate Man,94,71.0,9.0,2018-10-06,"July 13, 2018",Country,nan
Eminem,The Ringer,95,8.0,4.0,2018-10-06,"August 31, 2018","Beef,Rap",nan
The Carters,Apeshit,97,13.0,15.0,2018-10-06,"June 16, 2018","Trap,Rap",nan
Wiz Khalifa,Hopeless Romantic,98,72.0,7.0,2018-10-06,"June 21, 2018","R&;B,Rap",Swae Lee
Clean Bandit,Solo,99,58.0,13.0,2018-10-06,"May 18, 2018","Dance-Pop,Dance,Future Bass,Electro-Pop,Electronic,Pop",Demi Lovato
"Ozuna, Manuel Turizo",Vaina Loca,100,94.0,2.0,2018-10-06,"June 28, 2018","Latin Urban,Reggaeton,Latin Pop,Pop,Latin Music,En Espa\xc3\xb1ol",nan
Maroon 5,Girls Like You,1,1.0,7.0,2018-09-29,"May 30, 2018","Pop-Rock,East Coast,Remix,Rap,Pop",Cardi B
Drake,In My Feelings,2,1.0,12.0,2018-09-29,"June 29, 2018","Bounce,Pop,Trap,Canada,R&;B,Rap",nan
Juice WRLD,Lucid Dreams,4,3.0,19.0,2018-09-29,"July 1, 2017","Hip-Hop,Emo,Memes,Alternative Pop,Cloud Rap,Emo Rap,Trap,Rap",nan
Post Malone,Better Now,5,4.0,21.0,2018-09-29,"April 27, 2018","R&;B,Pop",nan
"Cardi B, Bad Bunny, J Balvin",I Like It,6,1.0,24.0,2018-09-29,"April 6, 2018","Trap,Latin Music,En Espa\xc3\xb1ol,Latin Trap,Rap",nan
"Kanye West, Lil Pump",I Love It,7,6.0,2.0,2018-09-29,"September 6, 2018","Hip-Hop,Memes,Rap",nan
6ix9ine,FEFE,8,3.0,9.0,2018-09-29,"July 22, 2018","Hip-Hop,Pop,Trap,Rap","Nicki Minaj, Murda Beatz"
Travis Scott,Sicko Mode,9,4.0,7.0,2018-09-29,"August 3, 2018","Hip-Hop,Memes,Rap,Canada,Trap",nan
5 Seconds Of Summer,Youngblood,10,10.0,16.0,2018-09-29,"April 12, 2018","New Wave,Pop,Synth-Pop,Electro-Pop,Alternative Pop,Australia,Pop-Rock,Rock",nan
"Khalid, Normani",Love Lies,11,9.0,31.0,2018-09-29,"February 14, 2018","Soundtrack,R&;B",nan
Tyga,Taste,12,8.0,17.0,2018-09-29,"May 16, 2018","Trap,West Coast,Rap",Offset
Eminem,Lucky You,13,6.0,3.0,2018-09-29,"August 31, 2018",Rap,Joyner Lucas
Imagine Dragons,Natural,14,14.0,9.0,2018-09-29,"July 17, 2018","Alternative,Adult Alternative,Indie Rock,Alternative Rock,Pop-Rock,Rock,Pop",nan
Drake,Nonstop,15,2.0,12.0,2018-09-29,"June 29, 2018","Memes,Trap,Canada,Rap",nan
DJ Khaled,No Brainer,16,5.0,8.0,2018-09-29,"July 27, 2018","Motown,R&;B,Electro-Pop,Canada,Rap,Pop","Justin Bieber, Chance The Rapper, Quavo"
Ariana Grande,God Is A Woman,17,8.0,10.0,2018-09-29,"July 13, 2018","Feminism,Alternative R&;B,Electro-Pop,Trap,R&;B,Pop",nan
Selena Gomez,Back To You,18,18.0,19.0,2018-09-29,"May 10, 2018","Ballad,Electro-Pop,Dance-Pop,Soundtrack,Pop",nan
"Lil Baby, Drake",Yes Indeed,19,6.0,19.0,2018-09-29,"May 12, 2018","Hip-Hop,Trap,Canada,Motown,Rap",nan
Ella Mai,Boo'd Up,20,5.0,25.0,2018-09-29,"February 24, 2017","UK,R&;B",nan
Ella Mai,Trip,21,21.0,7.0,2018-09-29,"August 3, 2018","UK,R&;B",nan
Machine Gun Kelly,Rap Devil,22,13.0,2.0,2018-09-29,"September 3, 2018","Beef,Rap",nan
Ed Sheeran,Perfect,23,1.0,56.0,2018-09-29,"March 3, 2017","Adult Contemporary,Ballad,UK,Pop",nan
YG,Big Bank,24,16.0,16.0,2018-09-29,"May 25, 2018",Rap,"2 Chainz, Big Sean, Nicki Minaj"
Ariana Grande,No Tears Left To Cry,25,3.0,22.0,2018-09-29,"April 20, 2018","Electro-Pop,Synth-Pop,Pop,Dance-Pop",nan
"Bebe Rexha, Florida Georgia Line",Meant To Be,26,2.0,48.0,2018-09-29,"August 11, 2017","Pop Country,Pop",nan
Taylor Swift,Delicate,27,12.0,28.0,2018-09-29,"November 10, 2017","Synth-Pop,New Wave,Tropical House,Electro-Pop,Electronic,Pop",nan
"benny blanco, Halsey, Khalid",Eastside,29,28.0,10.0,2018-09-29,"July 12, 2018","R&;B,Pop",nan
"Marshmello, Bastille",Happier,31,31.0,5.0,2018-09-29,"August 17, 2018","Adult Alternative,Producer,Alternative Dance,Alternative Pop,Alternative Rock,Adult Contemporary,Electro-Pop,Future Bass,Electronic,Dance,Pop",nan
Post Malone,Psycho,32,1.0,30.0,2018-09-29,"February 23, 2018",Rap,Ty Dolla $ign
XXXTENTACION,Sad!,33,1.0,29.0,2018-09-29,"March 2, 2018","Hip-Hop,Trap,Emo Rap,Rap,Alternative,Cloud Rap",nan
Lauv,I Like Me Better,34,27.0,32.0,2018-09-29,"May 19, 2017","Electronic,Pop",nan
"Zedd, Maren Morris, Grey",The Middle,35,5.0,34.0,2018-09-29,"January 23, 2018","Deutschland,Electro-Pop,Electronic,Dance,Pop",nan
Bebe Rexha,I'm A Mess,36,36.0,10.0,2018-09-29,"June 15, 2018",Pop,nan
Drake,Nice For What,37,1.0,24.0,2018-09-29,"April 6, 2018","Bounce,Rap,Canada,R&;B",nan
Dan + Shay,Tequila,39,21.0,28.0,2018-09-29,"January 10, 2018",Country,nan
Drake,God's Plan,40,1.0,35.0,2018-09-29,"January 19, 2018","Hip-Hop,Trap,Pop,Rap,Canada",nan
Florida Georgia Line,Simple,41,32.0,16.0,2018-09-29,"June 1, 2018",Country,nan
Sheck Wes,Mo Bamba,42,42.0,4.0,2018-09-29,"September 15, 2016","Hip-Hop,NBA,East Coast,Memes,Basketball,Trap,Rap",nan
lovelytheband,Broken,43,41.0,10.0,2018-09-29,"July 7, 2017","Pop,Indie Pop,Adult Alternative,Alternative Rock,Pop-Rock,Indie Rock,Rock",nan
Bazzi,Beautiful,44,42.0,7.0,2018-09-29,"August 2, 2018","Remix,Ballad,R&;B,Pop",Camila Cabello
Eminem,Fall,46,12.0,3.0,2018-09-29,"August 31, 2018",Rap,nan
Old Dominion,Hotel Key,48,48.0,12.0,2018-09-29,"September 25, 2017",Country,nan
Bryce Vine,Drew Barrymore,49,46.0,6.0,2018-09-29,"September 8, 2017","Pop,Rap",nan
Luke Combs,She Got The Best Of Me,50,50.0,6.0,2018-09-29,"July 1, 2014",Country,nan
Luke Bryan,"Sunrise, Sunburn, Sunset",51,35.0,12.0,2018-09-29,"December 8, 2017",Country,nan
"Tiesto, Dzeko",Jackie Chan,52,52.0,11.0,2018-09-29,"May 18, 2018","Dance,Remix,Rap,Pop","Preme, Post Malone"
Cardi B,Ring,53,28.0,9.0,2018-09-29,"April 6, 2018","West Coast,East Coast,Pop,R&;B,Rap",Kehlani
Russell Dickerson,Blue Tacoma,54,54.0,5.0,2018-09-29,"March 5, 2018",Country,nan
Weezer,Africa,55,51.0,10.0,2018-09-29,"May 29, 2018","Memes,Alternative,Synth Rock,Adult Contemporary,Cover,Power Pop,Pop-Rock,Adult Alternative,Alternative Rock,Rock",nan
Panic! At The Disco,High Hopes,56,56.0,7.0,2018-09-29,"May 23, 2018","Adult Alternative,Rock,Power Pop,Pop-Rock,Alternative,Alternative Rock,Classical Crossover,Electro-Pop,Alternative Pop,Pop",nan
Nicki Minaj,Barbie Dreams,57,18.0,6.0,2018-09-29,"August 10, 2018",Rap,nan
Dylan Scott,Hooked,58,48.0,10.0,2018-09-29,"June 30, 2017",Country,nan
Eminem,The Ringer,59,8.0,3.0,2018-09-29,"August 31, 2018","Beef,Rap",nan
Queen Naija,Medicine,60,45.0,16.0,2018-09-29,"December 31, 2017","YouTube,R&;B",nan
Kane Brown,Lose It,61,61.0,10.0,2018-09-29,"June 7, 2018",Country,nan
Ariana Grande,Breathin,62,22.0,5.0,2018-09-29,"August 17, 2018","Dance-Pop,Electro-Pop,R&;B,Pop",nan
Lauren Daigle,You Say,64,44.0,10.0,2018-09-29,"July 13, 2018","Worship,Christian Pop,Pop,Christian",nan
Cole Swindell,Break Up In The End,65,49.0,11.0,2018-09-29,"February 23, 2018",Country,nan
Mac Miller,Self Care,66,33.0,2.0,2018-09-29,"July 13, 2018","R&;B,Neo Soul,Rap",nan
Charlie Puth,The Way I Am,68,68.0,4.0,2018-09-29,"May 3, 2018","Electronic Rock,Synth-Pop,Electro-Pop,R&;B,Pop-Rock,Pop",nan
Yella Beezy,That's On Me,69,69.0,8.0,2018-09-29,"October 31, 2017",Rap,nan
Thomas Rhett,Life Changes,71,36.0,13.0,2018-09-29,"August 31, 2017",Country,nan
Jason Aldean,Drowns The Whiskey,72,32.0,14.0,2018-09-29,"April 13, 2018",Country,Miranda Lambert
NF,Lie,73,73.0,8.0,2018-09-29,"October 6, 2017","Pop,Rap",nan
Mitchell Tenpenny,Drunk Me,74,74.0,6.0,2018-09-29,"March 26, 2018",Country,nan
Kygo,Remind Me To Forget,75,63.0,10.0,2018-09-29,"March 16, 2018","Scandinavia,Dance-Pop,Electronic,Tropical House,Dance,Pop",Miguel
"Calvin Harris, Sam Smith",Promises,77,65.0,5.0,2018-09-29,"August 17, 2018","Electronic,Dance,Pop",nan
Brett Young,Mercy,78,29.0,20.0,2018-09-29,"February 10, 2017",Country,nan
Juice WRLD,All Girls Are The Same,79,41.0,19.0,2018-09-29,"December 22, 2017","Emo Rap,Cloud Rap,Alternative,Trap,Emo,Rap",nan
Travis Scott,Stargazing,80,8.0,7.0,2018-09-29,"August 3, 2018","Psychedelic,Trap,Rap",nan
Daniel Caesar,Best Part,81,81.0,9.0,2018-09-29,"August 25, 2017","Canada,R&;B",H.E.R.
Meek Mill,Dangerous,82,79.0,5.0,2018-09-29,"July 6, 2018","East Coast,R&;B,Rap","Jeremih, PnB Rock"
The Carters,Apeshit,83,13.0,14.0,2018-09-29,"June 16, 2018","Trap,Rap",nan
Chris Janson,Drunk Girl,84,84.0,4.0,2018-09-29,"September 22, 2017",Country,nan
Travis Scott,Yosemite,85,25.0,7.0,2018-09-29,"August 3, 2018","Atlanta,Canada,Memes,Trap,Rap",nan
6ix9ine,BEBE,86,30.0,3.0,2018-09-29,"August 31, 2018","Puerto Rico,Rap,Latin Urban,Pop,Reggaeton,En Espa\xc3\xb1ol,Latin Music",Anuel AA
Dan + Shay,Speechless,87,87.0,2.0,2018-09-29,"May 18, 2018",Country,nan
The Chainsmokers,Side Effects,88,66.0,6.0,2018-09-29,"July 27, 2018","Nu Disco,Future Bass,Dance-Pop,Dance,Pop",Emily Warren
Eric Church,Desperate Man,89,71.0,8.0,2018-09-29,"July 13, 2018",Country,nan
Carrie Underwood,Cry Pretty,90,48.0,12.0,2018-09-29,"April 11, 2018",Country,nan
Clean Bandit,Solo,91,58.0,12.0,2018-09-29,"May 18, 2018","Dance-Pop,Dance,Future Bass,Electro-Pop,Electronic,Pop",Demi Lovato
Chris Young,Hangin' On,92,89.0,3.0,2018-09-29,"March 5, 2018",Country,nan
Juice WRLD,Lean Wit Me,93,68.0,7.0,2018-09-29,"May 22, 2018","Alternative,Emo,Trap,Emo Rap,Rap",nan
Eminem,Not Alike,94,24.0,3.0,2018-09-29,"August 31, 2018","Beef,Trap,Rap",Royce Da 5'9
"Khalid, Ty Dolla $ign, 6LACK",OTW,95,57.0,17.0,2018-09-29,"April 20, 2018","Electro-Pop,Pop,Soul,West Coast,R&;B",nan
Wiz Khalifa,Hopeless Romantic,98,72.0,6.0,2018-09-29,"June 21, 2018","R&;B,Rap",Swae Lee
Eminem,Kamikaze,99,16.0,3.0,2018-09-29,"August 31, 2018",Rap,nan
Drake,In My Feelings,1,1.0,1.0,2018-09-22,"June 29, 2018","Bounce,Pop,Trap,Canada,R&;B,Rap",nan
Maroon 5,Girls Like You,2,2.0,16.0,2018-09-22,"May 30, 2018","Pop-Rock,East Coast,Remix,Rap,Pop",Cardi B
"Cardi B, Bad Bunny, J Balvin",I Like It,3,1.0,23.0,2018-09-22,"April 6, 2018","Trap,Latin Music,En Espa\xc3\xb1ol,Latin Trap,Rap",nan
Post Malone,Better Now,4,4.0,20.0,2018-09-22,"April 27, 2018","R&;B,Pop",nan
Juice WRLD,Lucid Dreams,5,3.0,18.0,2018-09-22,"July 1, 2017","Hip-Hop,Emo,Memes,Alternative Pop,Cloud Rap,Emo Rap,Trap,Rap",nan
6ix9ine,FEFE,7,3.0,8.0,2018-09-22,"July 22, 2018","Hip-Hop,Pop,Trap,Rap","Nicki Minaj, Murda Beatz"
Travis Scott,Sicko Mode,8,4.0,6.0,2018-09-22,"August 3, 2018","Hip-Hop,Memes,Rap,Canada,Trap",nan
Tyga,Taste,9,8.0,16.0,2018-09-22,"May 16, 2018","Trap,West Coast,Rap",Offset
"Khalid, Normani",Love Lies,10,9.0,30.0,2018-09-22,"February 14, 2018","Soundtrack,R&;B",nan
5 Seconds Of Summer,Youngblood,11,11.0,15.0,2018-09-22,"April 12, 2018","New Wave,Pop,Synth-Pop,Electro-Pop,Alternative Pop,Australia,Pop-Rock,Rock",nan
DJ Khaled,No Brainer,12,5.0,7.0,2018-09-22,"July 27, 2018","Motown,R&;B,Electro-Pop,Canada,Rap,Pop","Justin Bieber, Chance The Rapper, Quavo"
Ella Mai,Boo'd Up,14,5.0,24.0,2018-09-22,"February 24, 2017","UK,R&;B",nan
Imagine Dragons,Natural,15,15.0,8.0,2018-09-22,"July 17, 2018","Alternative,Adult Alternative,Indie Rock,Alternative Rock,Pop-Rock,Rock,Pop",nan
Ariana Grande,God Is A Woman,16,8.0,9.0,2018-09-22,"July 13, 2018","Feminism,Alternative R&;B,Electro-Pop,Trap,R&;B,Pop",nan
Drake,Nonstop,17,2.0,11.0,2018-09-22,"June 29, 2018","Memes,Trap,Canada,Rap",nan
Eminem,Lucky You,18,6.0,2.0,2018-09-22,"August 31, 2018",Rap,Joyner Lucas
Selena Gomez,Back To You,19,19.0,18.0,2018-09-22,"May 10, 2018","Ballad,Electro-Pop,Dance-Pop,Soundtrack,Pop",nan
"Lil Baby, Drake",Yes Indeed,20,6.0,18.0,2018-09-22,"May 12, 2018","Hip-Hop,Trap,Canada,Motown,Rap",nan
Ariana Grande,No Tears Left To Cry,21,3.0,21.0,2018-09-22,"April 20, 2018","Electro-Pop,Synth-Pop,Pop,Dance-Pop",nan
Ed Sheeran,Perfect,22,1.0,55.0,2018-09-22,"March 3, 2017","Adult Contemporary,Ballad,UK,Pop",nan
Ella Mai,Trip,23,23.0,6.0,2018-09-22,"August 3, 2018","UK,R&;B",nan
YG,Big Bank,24,16.0,15.0,2018-09-22,"May 25, 2018",Rap,"2 Chainz, Big Sean, Nicki Minaj"
Taylor Swift,Delicate,25,12.0,27.0,2018-09-22,"November 10, 2017","Synth-Pop,New Wave,Tropical House,Electro-Pop,Electronic,Pop",nan
Post Malone,Psycho,26,1.0,29.0,2018-09-22,"February 23, 2018",Rap,Ty Dolla $ign
"Bebe Rexha, Florida Georgia Line",Meant To Be,27,2.0,47.0,2018-09-22,"August 11, 2017","Pop Country,Pop",nan
"benny blanco, Halsey, Khalid",Eastside,28,28.0,9.0,2018-09-22,"July 12, 2018","R&;B,Pop",nan
XXXTENTACION,Sad!,29,1.0,28.0,2018-09-22,"March 2, 2018","Hip-Hop,Trap,Emo Rap,Rap,Alternative,Cloud Rap",nan
Drake,Nice For What,30,1.0,23.0,2018-09-22,"April 6, 2018","Bounce,Rap,Canada,R&;B",nan
"Zedd, Maren Morris, Grey",The Middle,31,5.0,33.0,2018-09-22,"January 23, 2018","Deutschland,Electro-Pop,Electronic,Dance,Pop",nan
Lauv,I Like Me Better,32,27.0,31.0,2018-09-22,"May 19, 2017","Electronic,Pop",nan
Eminem,Fall,34,12.0,2.0,2018-09-22,"August 31, 2018",Rap,nan
"Marshmello, Bastille",Happier,35,35.0,4.0,2018-09-22,"August 17, 2018","Adult Alternative,Producer,Alternative Dance,Alternative Pop,Alternative Rock,Adult Contemporary,Electro-Pop,Future Bass,Electronic,Dance,Pop",nan
Drake,God's Plan,36,1.0,34.0,2018-09-22,"January 19, 2018","Hip-Hop,Trap,Pop,Rap,Canada",nan
Dan + Shay,Tequila,37,21.0,27.0,2018-09-22,"January 10, 2018",Country,nan
Florida Georgia Line,Simple,38,32.0,15.0,2018-09-22,"June 1, 2018",Country,nan
Eminem,The Ringer,39,8.0,2.0,2018-09-22,"August 31, 2018","Beef,Rap",nan
Luke Bryan,"Sunrise, Sunburn, Sunset",40,35.0,11.0,2018-09-22,"December 8, 2017",Country,nan
lovelytheband,Broken,41,41.0,9.0,2018-09-22,"July 7, 2017","Pop,Indie Pop,Adult Alternative,Alternative Rock,Pop-Rock,Indie Rock,Rock",nan
Bazzi,Beautiful,42,42.0,6.0,2018-09-22,"August 2, 2018","Remix,Ballad,R&;B,Pop",Camila Cabello
Bebe Rexha,I'm A Mess,43,39.0,9.0,2018-09-22,"June 15, 2018",Pop,nan
Lauren Daigle,You Say,44,44.0,9.0,2018-09-22,"July 13, 2018","Worship,Christian Pop,Pop,Christian",nan
Nicki Minaj,Barbie Dreams,45,18.0,5.0,2018-09-22,"August 10, 2018",Rap,nan
Bazzi,Mine,46,11.0,34.0,2018-09-22,"October 12, 2017","Synth-Pop,Electro-Pop,Electronic,Memes,Instrumental Hip-Hop,Pop,R&;B",nan
Bryce Vine,Drew Barrymore,47,46.0,5.0,2018-09-22,"September 8, 2017","Pop,Rap",nan
Dylan Scott,Hooked,48,48.0,9.0,2018-09-22,"June 30, 2017",Country,nan
Old Dominion,Hotel Key,49,49.0,11.0,2018-09-22,"September 25, 2017",Country,nan
Weezer,Africa,51,51.0,9.0,2018-09-22,"May 29, 2018","Memes,Alternative,Synth Rock,Adult Contemporary,Cover,Power Pop,Pop-Rock,Adult Alternative,Alternative Rock,Rock",nan
"Tiesto, Dzeko",Jackie Chan,52,52.0,10.0,2018-09-22,"May 18, 2018","Dance,Remix,Rap,Pop","Preme, Post Malone"
6ix9ine,BEBE,53,30.0,2.0,2018-09-22,"August 31, 2018","Puerto Rico,Rap,Latin Urban,Pop,Reggaeton,En Espa\xc3\xb1ol,Latin Music",Anuel AA
Sheck Wes,Mo Bamba,54,54.0,3.0,2018-09-22,"September 15, 2016","Hip-Hop,NBA,East Coast,Memes,Basketball,Trap,Rap",nan
Jason Aldean,Drowns The Whiskey,55,32.0,13.0,2018-09-22,"April 13, 2018",Country,Miranda Lambert
Cardi B,Ring,56,28.0,8.0,2018-09-22,"April 6, 2018","West Coast,East Coast,Pop,R&;B,Rap",Kehlani
Luke Combs,She Got The Best Of Me,57,57.0,5.0,2018-09-22,"July 1, 2014",Country,nan
Thomas Rhett,Life Changes,58,36.0,12.0,2018-09-22,"August 31, 2017",Country,nan
Russell Dickerson,Blue Tacoma,59,59.0,4.0,2018-09-22,"March 5, 2018",Country,nan
Ariana Grande,Breathin,60,22.0,4.0,2018-09-22,"August 17, 2018","Dance-Pop,Electro-Pop,R&;B,Pop",nan
Queen Naija,Medicine,61,45.0,15.0,2018-09-22,"December 31, 2017","YouTube,R&;B",nan
Panic! At The Disco,High Hopes,62,62.0,6.0,2018-09-22,"May 23, 2018","Adult Alternative,Rock,Power Pop,Pop-Rock,Alternative,Alternative Rock,Classical Crossover,Electro-Pop,Alternative Pop,Pop",nan
Eminem,Not Alike,64,24.0,2.0,2018-09-22,"August 31, 2018","Beef,Trap,Rap",Royce Da 5'9
Brett Young,Mercy,65,29.0,19.0,2018-09-22,"February 10, 2017",Country,nan
Kane Brown,Lose It,67,67.0,9.0,2018-09-22,"June 7, 2018",Country,nan
Cole Swindell,Break Up In The End,68,49.0,10.0,2018-09-22,"February 23, 2018",Country,nan
Charlie Puth,The Way I Am,69,69.0,3.0,2018-09-22,"May 3, 2018","Electronic Rock,Synth-Pop,Electro-Pop,R&;B,Pop-Rock,Pop",nan
Travis Scott,Stargazing,71,8.0,6.0,2018-09-22,"August 3, 2018","Psychedelic,Trap,Rap",nan
"Calvin Harris, Sam Smith",Promises,72,65.0,4.0,2018-09-22,"August 17, 2018","Electronic,Dance,Pop",nan
The Carters,Apeshit,73,13.0,13.0,2018-09-22,"June 16, 2018","Trap,Rap",nan
Juice WRLD,All Girls Are The Same,74,41.0,18.0,2018-09-22,"December 22, 2017","Emo Rap,Cloud Rap,Alternative,Trap,Emo,Rap",nan
